City Name,Latitude,Temperature (F),Humidity %,Cloudiness %,Windspeed (mph)
tilichiki,60.47,26.2,95,89,6.85
yellowknife,62.45,11.37,72,20,14.99
koslan,63.46,24.96,92,100,13.31
norman wells,65.28,15.8,92,75,4.7
dembi dolo,8.53,65.25,83,1,1.99
deputatskiy,69.3,-6.22,100,98,1.72
cabo san lucas,22.89,81.03,69,5,6.29
whitecourt,54.14,30.2,92,75,6.93
dingle,11,75.34,88,74,3.98
egvekinot,66.32,7.77,96,35,2.53
tucumcari,35.17,56.84,22,1,9.17
hambantota,6.12,75.2,100,75,2.24
leshukonskoye,64.9,25.52,92,100,13.49
camacha,33.08,72.63,68,40,12.75
san borja,-14.86,94.24,42,100,3.76
joao pinheiro,-17.74,91.54,37,18,3.91
faanui,-16.48,81.3,80,75,10.49
hithadhoo,-0.6,82.76,65,0,2.71
indaparapeo,19.79,64.4,63,40,2.24
tuktoyaktuk,69.44,19.4,92,75,10.29
tezu,27.93,66.79,60,0,3.31
hami,42.84,49.26,32,100,1.86
guadalupe victoria,21.68,73.4,78,20,8.05
halifax,44.65,49.62,76,90,8.05
marzuq,14.4,71.53,57,21,6.04
keti bandar,24.14,82.17,66,51,5.48
saint george,39.45,64.27,59,75,4.7
sur,22.57,79.2,72,2,9.33
port macquarie,-31.43,65.73,93,90,8.05
oussouye,12.49,93.2,56,40,4.7
nagato,34.35,58.53,82,40,9.17
lavrentiya,65.58,24.4,81,62,6.04
juneau,58.3,43.2,100,90,4.7
doha,25.29,83.59,58,23,8.05
lazaro cardenas,28.39,65.68,55,75,9.53
beit jann,32.96,71.76,56,20,6.93
provideniya,64.42,16.86,86,0,2.06
port elizabeth,39.31,51.67,37,1,13.87
port alfred,-33.59,66.99,77,17,7
cidreira,-30.17,68.38,72,98,14.07
tanout,14.97,89.74,9,61,9.55
filingue,14.35,92.97,14,0,7.94
vila do maio,15.13,89.6,46,0,16.11
adrar,27.87,87.8,27,0,4.7
los llanos de aridane,28.66,73.6,78,75,11.41
yumen,40.29,43.3,30,100,9.01
kavieng,-2.57,83.08,78,100,11.79
narovchat,53.88,34.07,51,86,18.3
black river,18.03,86,66,20,12.75
lamu,35.77,32.4,46,14,3.29
port lincoln,-34.72,51.93,88,11,10.87
torbay,47.66,42.76,87,90,24.16
cayenne,4.94,91.4,59,100,10.29
abapo,-18.83,90.88,39,39,12.15
bloemfontein,-29.12,86,8,3,11.41
freetown,26.61,86,62,75,6.93
liberal,37.04,43.43,55,1,4.7
san lazaro,18.04,82.4,83,75,6.93
okhotsk,59.36,25.65,76,100,12.91
sao filipe,14.9,80.2,65,0,11.74
flinders,-34.58,61.25,100,40,2.24
bonnyville,54.27,28.4,74,90,9.17
otawara,36.87,52.52,90,71,5.97
abha,18.22,68.07,72,34,5.82
bredasdorp,-34.53,62.85,51,51,12.75
kayerkan,69.35,-13.01,75,68,8.95
pitimbu,-7.47,86,62,75,16.11
codrington,-28.95,68.16,82,40,1.12
hovd,63.83,28.06,85,0,8.05
kinablangan,7.69,73.67,87,98,3.36
ucluelet,48.94,43.3,100,90,2.24
saskylakh,71.97,-7.55,96,100,14.97
sao gabriel da cachoeira,-0.13,92.53,46,98,4.38
nantucket,41.28,53.94,43,1,9.17
veraval,49.65,52.81,76,75,11.41
tuatapere,-46.13,48.87,74,73,4.34
shitanjing,39.23,50,32,0,1.01
jacqueville,5.21,86,70,40,9.17
araceli,10.55,83.21,79,100,14.38
karasburg,-28.01,80.24,12,0,8.63
panguna,-6.32,69.75,95,99,1.43
punta alta,-27.46,73.4,88,75,9.17
ostrovnoy,68.05,24.66,89,100,16.82
dronten,52.52,52.09,100,75,5.82
nanchong,30.8,61.61,71,9,1.79
marshall,32.54,57.72,44,1,5.82
san francisco del mar,16.34,84.67,56,12,13.11
shwebo,22.57,75.76,78,12,2.84
fort nelson,58.81,24.8,79,90,4.7
severo-yeniseyskiy,60.37,8.73,92,97,8.23
solwezi,-12.18,76.57,33,75,4.54
vila,45.18,50.56,100,75,3.36
tripoli,37.51,66.33,64,75,4.25
nargana,9.44,82.8,75,3,10.38
puerto escondido,15.86,84.2,70,40,1.83
alofi,-19.06,69.8,68,100,8.05
chapais,49.78,32,85,40,12.75
mecca,21.43,82.98,40,0,2.82
promyshlennyy,67.58,1.78,77,0,5.12
sobolevo,54.43,45.3,91,99,15.39
ulaangom,49.98,28.11,71,85,5.23
morgan city,29.7,59.83,51,1,11.41
udachnyy,66.42,12.2,92,90,4.47
port-gentil,-0.72,86,74,75,10.29
nador,35.17,71.6,60,20,17.22
mahe,11.7,78.8,94,40,2.24
touros,-5.2,84.2,58,75,20.8
katsuura,33.93,58.51,77,75,10.29
saldanha,41.42,52,82,90,12.37
ossora,59.24,37.27,95,100,18.3
ancud,-41.87,51.8,100,90,16.11
demir kapija,41.41,57,97,98,3.91
moba,-7.04,79.38,68,100,6.44
okulovka,58.37,43.41,94,100,8.68
rameswaram,9.28,83.53,75,96,10.51
severo-kurilsk,50.68,32.34,89,57,2.35
birao,10.3,80.26,34,1,5.28
chernyshevskiy,63.01,8.24,86,32,9.98
santa maria del tule,17.03,71.6,53,75,8.05
honiara,-9.43,77,94,40,3.36
kasulu,-4.57,82.4,48,20,5.82
trogir,43.52,64.44,77,75,16.11
gat,14.69,95,34,73,9.17
muros,42.77,59.67,100,90,10.29
ouango,4.31,73.17,88,40,2.98
ciudad guayana,8.32,91.99,56,78,1.01
hofn,64.25,35.6,69,90,12.75
samarai,-10.62,74.39,89,98,5.19
jiuquan,39.73,37.44,37,67,0.49
zhangjiakou,40.77,36.21,95,0,0.85
progreso,-34.68,69.37,56,20,10.29
umm lajj,25.02,75.61,52,0,7.67
nizhnyaya tavda,57.67,16.57,96,9,3.38
amga,60.89,14.2,94,100,3.4
puerto del rosario,28.5,76.23,73,20,13.87
zaraza,9.35,86.79,63,4,5.61
valdivia,-39.81,52.74,78,70,6.35
te anau,-45.41,47.03,93,85,5.75
husavik,50.56,31.89,88,100,5.01
salto,-23.2,97.18,31,75,10.29
goundam,16.42,92.17,10,19,7.2
sumbawanga,-7.95,68.92,44,42,3.38
bam,29.11,64.6,31,0,2.08
maningrida,-12.05,77.92,87,60,1.83
nizhnevartovsk,60.93,17.6,78,90,4.47
narsaq,60.91,33.8,43,27,2.24
mazamari,-11.33,84.06,38,2,4.61
ponta delgada,37.73,68,68,75,11.41
tsabong,-26.02,84.49,15,5,5.53
ilulissat,69.22,24.8,45,36,3.36
solnechnyy,50.72,27.03,44,32,1.97
hasaki,35.73,54.25,100,75,8.05
abiramam,9.44,80.6,83,75,4.7
anqing,30.51,62.08,43,0,7.05
port hardy,50.7,44.6,100,90,2.24
nabire,-3.36,71.22,97,100,1.99
sambava,-14.27,69.96,96,38,3
tias,28.96,75.97,57,40,12.75
grand gaube,-20.01,73.67,78,75,14.99
portland,43.66,50.11,60,20,8.05
mareeba,-16.99,70.56,73,40,8.05
inirida,3.87,86.16,72,36,3.87
sarkand,45.41,49.48,58,52,2.3
marsa matruh,31.35,74.41,75,0,7.99
olga,34.11,61.86,13,1,2.95
neepawa,50.23,30.2,86,90,9.17
areia branca,-10.76,84.2,62,40,14.99
marawi,8,78.01,95,100,1.99
berdigestyakh,62.1,23.7,95,100,5.37
illertissen,48.22,50.18,93,100,1.12
plettenberg bay,-34.05,60.84,74,98,4.34
raudeberg,61.99,34.56,56,0,10.29
colonia,46.6,59.27,82,90,6.93
bathsheba,13.22,84.2,74,20,12.75
sitka,37.17,46.99,47,0,5.99
saint anthony,43.97,30.99,74,90,3.36
araouane,18.9,86.76,15,40,9.6
teguise,29.06,77,57,40,12.75
slave lake,55.28,32,77,90,10.29
hearst,49.69,31.32,58,99,8.16
broome,52.47,50.79,93,75,4.7
ankang,32.73,52.32,73,0,2.59
sibu,2.29,77,88,75,2.24
anito,12.45,82.2,80,19,7.25
kenora,49.76,32.65,73,90,11.41
kavaratti,10.57,81.36,67,8,3.8
mayor pablo lagerenza,-19.93,101.97,26,24,12.68
lorengau,-2.02,81.27,78,100,11.59
biak,-0.91,81.54,71,79,11.63
muzaffarabad,34.37,46.04,63,0,7.58
itarema,-2.92,88.95,49,75,14.54
tanete,-3.94,73.62,90,32,1.14
kapit,2.02,71.78,98,96,0.94
caernarfon,53.14,50.61,81,40,9.17
canchungo,12.07,93.2,56,40,4.7
victor harbor,-35.55,53.89,62,20,13.87
la macarena,2.18,85.32,68,36,3.74
reconquista,-29.14,72.48,87,100,11.74
margate,-43.03,48.4,61,49,10.29
richards bay,-28.77,72,75,37,22.15
medina del campo,41.31,55.6,62,93,16.11
pyu,18.48,74.39,91,0,1.45
ust-kut,56.78,19.69,86,91,8.81
faqirwali,29.47,72.27,45,0,2.28
kennebunk,43.38,50.45,53,1,6.93
canete,46.33,44.51,100,75,3.36
cardston,49.2,35.11,89,90,2.24
nhamunda,-2.19,98.53,31,50,4.07
molina,-35.11,76.93,43,0,3.36
sola,-3.17,79.48,34,80,7.47
ha tinh,18.33,79.56,76,61,12.53
atar,20.52,88.32,15,0,13.82
badami,15.92,75.02,80,6,2.51
coihaique,-45.58,51.8,66,75,11.41
saquarema,-22.93,88.88,62,0,13.87
kutum,14.2,78.46,20,60,5.86
college,64.86,15.58,100,90,3.36
san carlos,11.12,73.99,63,42,20
padang,-0.92,65.55,96,95,1.05
kongoussi,13.32,91.31,20,16,6.62
nuuk,64.17,30.09,63,30,6.67
belmonte,40.36,60.98,85,91,8.01
pacifica,37.61,56.64,61,1,2.04
ligayan,4.65,84.18,75,1,8.01
mayo,63.59,23,100,75,3.36
buta,2.79,71.76,98,99,2.51
sangar,63.92,9.1,93,100,9.15
bourail,-21.57,62.44,87,0,3.18
laguna,16.17,73.4,100,75,3.2
cairns,-16.92,70.39,73,40,8.05
rasulnagar,32.33,71.6,78,0,2.3
kumano,34.34,57.51,82,40,6.93
sao felix do xingu,-6.64,99.19,29,94,1.01
esperance,-33.86,50,87,17,6.82
el cope,8.69,80.53,66,40,9.17
kropotkin,45.43,38.21,65,17,6.69
the valley,18.22,82,69,40,13.87
sorland,67.67,40.01,60,40,17.22
hammerfest,70.66,28.4,92,40,14.99
dhidhdhoo,6.88,82.63,68,5,6.17
nicoya,10.15,79.84,62,20,5.82
iquitos,-3.75,42.8,100,75,11.41
kawalu,-7.38,68.52,98,100,3.51
praia da vitoria,38.73,68,68,75,15.86
tibati,6.47,70.92,84,68,2.95
inuvik,68.36,19.62,92,90,6.38
napasar,27.97,80.26,39,18,7.2
shimoda,34.7,58.17,91,100,3
barmer,25.74,85.19,41,14,1.21
wad rawah,15.16,89.13,19,0,9.01
karaton,-6.34,80.29,74,40,9.17
amuntai,-2.42,74.52,86,69,1.54
collierville,35.04,55.08,47,5,6.93
matay,28.42,71.53,31,0,6.13
beringovskiy,63.05,29.17,89,96,0.18
brasilia de minas,-16.21,87.75,44,42,2.95
kahului,20.89,71.53,73,1,8.05
klaeng,12.78,81.54,85,91,2.04
pisco,-13.71,69.03,30,81,9.17
kirkwall,58.98,47.79,81,75,17.22
musoma,-1.5,77,69,20,5.82
yellapur,14.96,69.44,97,24,2.82
mogadishu,2.04,80.82,82,60,12.88
kulhudhuffushi,6.62,82.63,68,1,5.26
moron,18.56,82.15,68,11,3.04
ouahigouya,13.58,90.41,22,45,5.26
lata,30.78,25.03,82,92,3.96
kyabe,9.45,81.12,47,0,3.78
stokmarknes,68.56,33.66,63,75,6.93
itapirapua,-15.82,87.21,53,82,14.16
berlevag,70.86,29.86,74,75,31.09
aras,42.56,57.6,51,40,10.29
challans,46.85,54.68,87,90,12.75
tokur,53.13,9.01,91,0,0.31
bilma,18.69,83.05,15,27,8.75
caucasia,7.98,87.76,63,30,4.25
puerto lleras,8.16,86,62,40,10.29
miraflores,-16.39,66.2,29,20,9.17
mirnyy,56.57,43.56,89,100,12.21
lagos,6.46,86,70,40,8.01
bubaque,11.28,84.11,74,57,10.4
arman,59.7,36.86,72,100,20.87
mount gambier,-37.83,48.2,93,75,9.17
ortakoy,38.74,44.6,70,0,1.12
fort-shevchenko,44.51,36.18,67,0,4.41
aksaray,38.37,44.6,70,0,1.12
bitung,1.44,75.2,94,40,1.5
hamilton,43.26,40.8,69,75,14.99
paita,-5.09,83.89,45,62,15.3
hun,50.34,52.29,93,100,9.17
orshanka,56.92,30.56,96,100,18.3
kasongo-lunda,-6.48,70.45,95,86,1.63
puerto carreno,6.19,87.8,66,40,5.82
inyonga,-6.72,75.42,31,10,5.06
rusape,-18.53,70.95,33,22,8.46
warmbad,50.67,47.8,87,100,3.36
roblin,51.23,29.21,91,100,5.66
chumikan,54.72,17.56,61,15,5.35
karasjok,69.47,5,84,75,19.46
paramonga,-10.68,62.19,88,56,10.49
vila franca do campo,37.72,68,68,75,11.41
hulan ergi,47.2,29.32,42,0,5.77
yar-sale,66.83,2.61,88,6,7.38
kasempa,-13.46,78.94,29,75,2.51
upington,-28.46,91.4,10,0,11.41
maniitsoq,65.42,28.42,57,54,8.61
thunder bay,48.41,34.75,64,75,8.05
buala,-8.15,79.97,83,100,7.23
soyo,-6.13,82.4,74,20,6.93
perry,30.12,64.78,45,1,8.05
sao mateus,-18.72,89.71,39,3,7.76
okmulgee,35.62,54.95,47,1,13.87
mount isa,-20.73,80.6,54,18,8.05
san vicente,-0.59,77,88,90,6.93
san carlos de bariloche,-41.13,53.83,33,20,33.33
manaus,-3.13,86.88,70,40,4.7
abnub,27.27,70.77,36,0,7.11
havelock,34.88,60.08,44,1,11.41
santa paula,34.35,61.43,26,1,5.03
half moon bay,37.46,56.77,61,1,2.04
palmeiras de goias,-16.8,87.85,45,35,4.41
namatanai,-3.66,79.9,78,100,5.46
duluth,46.77,32.32,49,90,4.34
orotukan,62.26,6.84,97,62,0.65
hellange,49.51,51.17,93,75,9.17
hattiesburg,31.33,57.97,44,1,9.17
micomeseng,2.15,73.63,87,54,4.38
chiredzi,-21.05,84.16,29,88,5.03
myskhako,44.66,52.18,62,75,6.71
dvinskoy,62.16,32.79,97,100,10.2
fortuna foothills,32.66,66.16,11,1,2.01
tabou,4.42,78.58,82,16,3.33
viedma,-40.81,85.71,12,0,23.33
altamira,-3.2,93.9,43,25,2.17
fengcheng,40.45,32.95,42,0,5.1
yanam,16.73,86,62,20,3.36
san jose,14.25,76.84,60,1,6.49
benghazi,32.12,72.54,64,1,5.35
tura,64.27,-2.19,84,76,6.71
big rapids,43.7,38.5,74,90,5.82
bastia,44.6,53.28,76,75,4.7
qaqortoq,60.72,33.8,43,32,2.24
besikduzu,41.05,51.8,76,83,4.7
leh,34.16,24.67,82,100,3.02
wanaka,-44.7,40.48,75,78,7.83
romny,50.74,44.82,75,100,17.25
sahbuz,39.41,45.46,61,7,4.7
conde,-11.81,78.31,76,36,11.97
changde,29.04,59.5,55,0,4.25
sretensk,52.24,26.65,46,66,4.97
kieta,-6.22,77.4,87,100,7.87
biratnagar,26.46,72.84,70,22,3.44
nelson bay,-32.72,65.59,100,75,4.7
sabang,13.8,78.01,96,36,1.99
erzin,36.95,62.35,48,0,9.17
yamada,36.58,52.39,93,75,2.24
nanga eboko,4.68,71.35,85,56,0.78
mugur-aksy,50.38,5.04,90,23,5.48
taguatinga,-15.83,85.46,40,75,9.17
visnes,59.36,45.45,64,75,8.05
baghdad,33.3,73.4,46,22,4.7
belyy yar,53.6,17.6,85,1,5.46
christchurch,-43.53,50.74,93,42,1.12
marfino,56.07,37.27,93,90,15.66
kisangani,0.52,71.62,89,55,1.34
novokizhinginsk,51.61,27.66,76,97,15.26
pahrump,36.21,53.56,13,1,2.44
pangai,-19.8,71.35,68,100,12.62
mudgee,-32.6,57.81,100,40,4.7
pimentel,-3.7,90.01,53,83,5.7
delta,38.74,37.9,43,1,4.09
pindamonhangaba,-22.93,89.82,18,20,10.29
powell river,49.84,45.73,100,75,2.24
jieshi,22.82,75.99,70,84,4.92
vanimo,-2.67,82.78,77,100,16.69
coolum beach,-26.53,67.33,96,34,1.99
gravdal,59.79,45.12,59,75,8.05
itanhem,-17.17,79.74,69,81,7.2
kloulklubed,7.04,82.76,80,75,21.92
bowen,-20.01,70.41,88,40,4.7
kempsey,-31.08,66.06,93,90,8.05
chiang khong,20.27,73.4,94,20,2.24
havre-saint-pierre,50.23,39.2,80,90,9.17
neryungri,56.66,16.66,66,99,3.85
harnosand,62.63,28.45,68,0,6.93
yablonovo,50.85,35.6,74,75,8.95
inverness,57.48,48.36,100,75,14.99
morondava,-20.3,71.85,76,1,2.3
zhuhai,40.71,37.4,86,0,4.47
vestmanna,62.16,41,73,100,17.22
yaan,7.38,79.54,78,26,1.83
digby,44.62,46.99,1,77,21.99
makat,47.65,29.64,60,0,9.71
kalengwa,-13.47,77.99,34,78,4.72
erenhot,43.65,43.48,56,0,4.85
bakchar,57.02,24.53,66,100,4.59
stromness,42.87,41.07,60,90,14.99
le moule,16.33,86,66,4,11.41
gayeri,12.65,89.67,33,55,5.41
vilyuysk,63.75,11.71,92,36,9.46
poya,-21.35,70.02,74,0,6.51
